Sentence,SentenceKey,YesRate,ConsensusScore,GoldLabel,Sentence_text,Metaphor,Derived metaphor,Category,subcategory,sentence,Source
"Below, we rounded up celebrities who have spoken candidly about their own battles with everything from postpartum depression to anorexia","below, we rounded up celebrities who have spoken candidly about their own battles with everything from postpartum depression to anorexia",0.5,0.0,Tie,"Below, we rounded up celebrities who have spoken candidly about their own battles with everything from postpartum depression to anorexia",MEDICINE_IS_WAR,,,,"Below, we rounded up celebrities who have spoken candidly about their own battles with everything from postpartum depression to anorexia","insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"In normal tissue during the stady state, cell birth equals cell death","in normal tissue during the stady state, cell birth equals cell death",0.5,0.0,Tie,"In normal tissue during the stady state, cell birth equals cell death",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,"In normal tissue during the stady state, cell birth equals cell death",Metaphors in medical texts
Failure of some tumors to grow probably can be attributed to residual immune defenses in these animals,failure of some tumors to grow probably can be attributed to residual immune defenses in these animals,0.5,0.0,Tie,Failure of some tumors to grow probably can be attributed to residual immune defenses in these animals,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,Failure of some tumors to grow probably can be attributed to residual immune defenses in these animals,Metaphors in medical texts
"Oliver’s family’s nightmare began when he caught a cold during the Christmas holidays while he was enjoying a trip to New York with his mum, step-dad David and sister Holly, seven","oliver's family's nightmare began when he caught a cold during the christmas holidays while he was enjoying a trip to new york with his mum, step-dad david and sister holly, seven",1.0,1.0,yes,"Oliver’s family’s nightmare began when he caught a cold during the Christmas holidays while he was enjoying a trip to New York with his mum, step-dad David and sister Holly, seven",DISEASE_IS_A_LIVING_ENTITY,,,,"Oliver’s family’s nightmare began when he caught a cold during the Christmas holidays while he was enjoying a trip to New York with his mum, step-dad David and sister Holly, seven","nypost.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
LAK cells are cells that develop the ability to kill fresh tumor cells,lak cells are cells that develop the ability to kill fresh tumor cells,0.0,1.0,no,LAK cells are cells that develop the ability to kill fresh tumor cells,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,LAK cells are cells that develop the ability to kill fresh tumor cells,Metaphors in medical texts
the multistage nature of malignancy,the multistage nature of malignancy,3.333.333.333.333.330,33.333.333.333.333.300,no,the multistage nature of malignancy,CARCINOGENESIS/METASTASIS_CONSIST_OF_SEVERAL_STEPS,,,Steps and stages,the multistage nature of malignancy,Metaphors in medical texts
cells not in cycle but able to be recruited into cycle,cells not in cycle but able to be recruited into cycle,1.15,0.5,yes,cells not in cycle but able to be recruited into cycle,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,cells not in cycle but able to be recruited into cycle,Metaphors in medical texts
I really feel the diabetes coming,i really feel the diabetes coming,1.0,1.0,yes,I really feel the diabetes coming,DIABETES IS A JOURNEY,,Development of disease,,I really feel the diabetes coming,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
"these libraries are useful in providing amplified copies of specific sequences; for example, a cDNA from reticulocytes will contain many copies of globin cDNA, whereas this gene occurs only twice in a genomic library.","these libraries are useful in providing amplified copies of specific sequences; for example, a cdna from reticulocytes will contain many copies of globin cdna, whereas this gene occurs only twice in a genomic library.",0.0,1.0,no,"these libraries are useful in providing amplified copies of specific sequences; for example, a cDNA from reticulocytes will contain many copies of globin cDNA, whereas this gene occurs only twice in a genomic library.",A_GENOME_IS_A_TEXT,,,Text,"these libraries are useful in providing amplified copies of specific sequences; for example, a cDNA from reticulocytes will contain many copies of globin cDNA, whereas this gene occurs only twice in a genomic library.",Metaphors in medical texts
"The analogies between GCN-4, jun oncogene and Apl strongly suggest that one mechanism of oncogenesis may be a transcriptional element gone awry","the analogies between gcn-4, jun oncogene and apl strongly suggest that one mechanism of oncogenesis may be a transcriptional element gone awry",0.25,0.5,no,"The analogies between GCN-4, jun oncogene and Apl strongly suggest that one mechanism of oncogenesis may be a transcriptional element gone awry",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour","The analogies between GCN-4, jun oncogene and Apl strongly suggest that one mechanism of oncogenesis may be a transcriptional element gone awry",Metaphors in medical texts
Don’t die on me! No diabetes allowed. LOL,don't die on me! no diabetes allowed. lol,1.0,1.0,yes,Don’t die on me! No diabetes allowed. LOL,DIABETES IS AN ACTOR,,Development of disease,,Don’t die on me! No diabetes allowed. LOL,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
GCN-4 is a transcriptional control element in yeast,gcn-4 is a transcriptional control element in yeast,0.0,1.0,no,GCN-4 is a transcriptional control element in yeast,A_GENOME_IS_A_TEXT,,,Text,GCN-4 is a transcriptional control element in yeast,Metaphors in medical texts
