Column,Question,HumanCounts,GoldStandard,LLMAnswer,Result,IsCorrect
"QID3 - Does this sentence contain a metaphor?
Sentence: ""Below, we rounded up celebrities who have spoken candidly about their own battles with everything from postpartum depression to anorexia""","Does this sentence contain a metaphor?
Sentence: ""Below, we rounded up celebrities who have spoken candidly about their own battles with everything from postpartum depression to anorexia""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID5 - Does this sentence contain a metaphor?
Sentence: ""drug transport [of cells]""","Does this sentence contain a metaphor?
Sentence: ""drug transport [of cells]""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID7 - Does this sentence contain a metaphor?
Sentence: ""In normal tissue during the stady state, cell birth equals cell death""","Does this sentence contain a metaphor?
Sentence: ""In normal tissue during the stady state, cell birth equals cell death""","{'yes': 2, 'no': 1}",yes,no,LLM does NOT match the gold standard.,False
"QID9 - Does this sentence contain a metaphor?
Sentence: ""Failure of some tumors to grow probably can be attributed to residual immune defenses in these animals""","Does this sentence contain a metaphor?
Sentence: ""Failure of some tumors to grow probably can be attributed to residual immune defenses in these animals""","{'no': 2, 'yes': 1}",no,no,LLM matches the gold standard.,True
"QID11 - Does this sentence contain a metaphor?
Sentence: ""Oliver’s family’s nightmare began when he caught a cold during the Christmas holidays while he was enjoying a trip to New York with his mum, step-dad David and sister Holly, seven""","Does this sentence contain a metaphor?
Sentence: ""Oliver’s family’s nightmare began when he caught a cold during the Christmas holidays while he was enjoying a trip to New York with his mum, step-dad David and sister Holly, seven""",{'yes': 2},yes,no,LLM does NOT match the gold standard.,False
"QID15 - Does this sentence contain a metaphor?
Sentence: ""the multistage nature of malignancy""","Does this sentence contain a metaphor?
Sentence: ""the multistage nature of malignancy""",{'no': 1},no,**yes**,LLM does NOT match the gold standard.,False
"QID17 - Does this sentence contain a metaphor?
Sentence: ""cells not in cycle but able to be recruited into cycle""","Does this sentence contain a metaphor?
Sentence: ""cells not in cycle but able to be recruited into cycle""","{'yes': 2, 'no': 1}",yes,no,LLM does NOT match the gold standard.,False
"QID19 - Does this sentence contain a metaphor?
Sentence: ""I really feel the diabetes coming""","Does this sentence contain a metaphor?
Sentence: ""I really feel the diabetes coming""",{'yes': 1},yes,**no**,LLM does NOT match the gold standard.,False
"QID21 - Does this sentence contain a metaphor?
Sentence: ""these libraries are useful in providing amplified copies of specific sequences; for example, a cDNA from reticulocytes will contain many copies of globin cDNA, whereas this gene occurs only twice in a genomic library.""","Does this sentence contain a metaphor?
Sentence: ""these libraries are useful in providing amplified copies of specific sequences; for example, a cDNA from reticulocytes will contain many copies of globin cDNA, whereas this gene occurs only twice in a genomic library.""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID23 - Does this sentence contain a metaphor?
Sentence: ""The analogies between GCN-4, jun oncogene and Apl strongly suggest that one mechanism of oncogenesis may be a transcriptional element gone awry""","Does this sentence contain a metaphor?
Sentence: ""The analogies between GCN-4, jun oncogene and Apl strongly suggest that one mechanism of oncogenesis may be a transcriptional element gone awry""",{'no': 2},no,no,LLM matches the gold standard.,True
