Metaphor,Derived metaphor,Category,subcategory,Example,Source
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,Cells of limited lifespan,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,This [the adult cell] has a finite lifespan that usually is short,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,Tumor lifespan,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,Mature cells have a short lifespan,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,How each cell---maintains its cellular function through its life,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,The long life of the red cell,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,Some of the antigens can be stripped off the tumor cells by the antibody without interfering with the life of the cell,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,...represents rather a short period in the total life history of a tumor,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,In both tumors and normal tissues there will be cell birth and cell death,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,"In normal tissue during the stady state, cell birth equals cell death",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,"As tumours grow, cell birth must exceed cell death",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,Both extensive cell birth and cell death occur,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,cells...die in a few days,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,...cells may arrest and die...,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,"When cells are irradiated, lethal damage can occur, or the damage may be modified and not lead irrevocably to cell death",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,cells that would have died can be salvaged,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,the growth and maturation of normal tissues,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,the cells...continue maturation until the adult functioning cell is produced,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,maturation > adult cell > cell death,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,human cells become senescent,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,members of the oncogene group that rescues cells from senescence,Metaphors in medical texts
